iter	Passed	Remaining
0	140	140378
1	141	70480
2	141	47182
3	142	35527
4	143	28534
5	144	23873
6	144	20540
7	145	18040
8	146	16097
9	146	14528
10	147	13258
11	148	12199
12	148	11301
13	149	10533
14	150	9867
15	150	9283
16	151	8769
17	152	8308
18	152	7897
19	153	7522
20	154	7180
21	154	6869
22	155	6585
23	155	6324
24	156	6084
25	156	5862
26	156	5656
27	157	5465
28	157	5288
29	158	5122
30	158	4967
31	159	4821
32	159	4684
33	160	4556
34	160	4434
35	161	4320
36	161	4212
37	162	4109
38	162	4011
39	163	3918
40	163	3830
41	164	3746
42	164	3665
43	165	3589
44	165	3516
45	166	3446
46	166	3379
47	167	3315
48	167	3254
49	168	3194
50	168	3137
51	169	3083
52	169	3030
53	170	2979
54	170	2930
55	171	2883
56	171	2837
57	171	2793
58	172	2750
59	172	2709
60	173	2669
61	173	2631
62	174	2593
63	174	2557
64	175	2522
65	175	2488
66	176	2455
67	176	2423
68	177	2392
69	177	2362
70	178	2332
71	178	2304
72	179	2276
73	179	2249
74	180	2222
75	180	2197
76	181	2172
77	181	2147
78	182	2123
79	182	2100
80	182	2076
81	183	2053
82	183	2032
83	184	2011
84	184	1988
85	185	1968
86	185	1949
87	186	1930
88	186	1911
89	187	1892
90	187	1874
91	188	1856
92	188	1839
93	189	1822
94	189	1806
95	190	1790
96	190	1774
97	191	1758
98	191	1743
99	192	1728
100	192	1713
101	193	1700
102	193	1686
103	194	1672
104	194	1659
105	195	1645
106	195	1632
107	196	1619
108	196	1607
109	197	1594
110	197	1582
111	198	1570
112	198	1558
113	199	1546
114	199	1535
115	200	1524
116	200	1513
117	200	1502
118	201	1491
119	201	1481
120	202	1470
121	202	1460
122	203	1450
123	203	1440
124	204	1430
125	204	1421
126	205	1411
127	205	1402
128	206	1393
129	206	1384
130	207	1376
131	207	1367
132	208	1358
133	208	1350
134	209	1341
135	209	1333
136	210	1325
137	210	1317
138	211	1309
139	211	1301
140	212	1293
141	212	1286
142	213	1278
143	213	1271
144	214	1263
145	214	1256
146	215	1249
147	215	1242
148	216	1235
149	216	1228
150	217	1221
151	217	1214
152	218	1207
153	218	1201
154	219	1194
155	219	1188
156	220	1182
157	220	1176
158	221	1170
159	221	1164
160	222	1158
161	222	1152
162	223	1146
163	223	1140
164	224	1134
165	224	1128
166	225	1123
167	225	1117
168	226	1112
169	226	1106
170	227	1101
171	227	1095
172	228	1090
173	228	1085
174	229	1080
175	229	1074
176	230	1069
177	230	1064
178	231	1059
179	231	1054
180	232	1049
181	232	1045
182	233	1040
183	233	1035
184	233	1030
185	234	1026
186	234	1021
187	235	1016
188	235	1012
189	236	1007
190	236	1003
191	237	998
192	237	994
193	238	990
194	238	985
195	239	981
196	239	977
197	240	973
198	240	969
199	241	964
200	241	960
201	242	956
202	242	952
203	243	948
204	243	945
205	244	941
206	244	937
207	245	933
208	245	929
209	246	926
210	246	922
211	247	918
212	247	914
213	248	911
214	248	907
215	249	904
216	249	900
217	250	896
218	250	893
219	251	889
220	251	886
221	251	883
222	252	879
223	252	876
224	253	872
225	253	869
226	254	866
227	254	862
228	255	859
229	255	856
230	256	853
231	256	850
232	257	846
233	257	843
234	258	840
235	258	837
236	259	834
237	259	831
238	260	828
239	260	825
240	261	822
241	261	819
242	262	816
243	262	813
244	263	810
245	263	807
246	264	805
247	264	802
248	265	799
249	265	796
250	265	793
251	266	790
252	266	788
253	267	785
254	267	782
255	268	779
256	268	777
257	269	774
258	269	771
259	270	769
260	270	766
261	271	763
262	271	761
263	272	758
264	272	756
265	273	753
266	273	751
267	274	749
268	274	746
269	275	744
270	275	741
271	276	739
272	276	736
273	277	734
274	277	732
275	278	729
276	278	727
277	279	725
278	279	722
279	280	720
280	280	718
281	281	715
282	281	713
283	282	711
284	282	708
285	283	706
286	283	704
287	283	702
288	284	699
289	284	697
290	285	695
291	285	693
292	286	690
293	286	688
294	287	686
295	287	684
296	288	682
297	288	680
298	289	678
299	289	676
300	290	673
301	290	671
302	291	669
303	291	667
304	292	665
305	292	663
306	293	661
307	293	659
308	294	657
309	294	655
310	295	653
311	295	651
312	296	650
313	296	648
314	297	646
315	297	644
316	298	642
317	298	640
318	299	638
319	299	636
320	300	634
321	300	632
322	301	631
323	301	629
324	302	627
325	302	625
326	303	623
327	303	621
328	303	619
329	304	618
330	304	616
331	305	614
332	305	612
333	306	611
334	306	609
335	307	607
336	307	605
337	308	603
338	308	602
339	309	600
340	309	598
341	310	597
342	310	595
343	311	593
344	311	591
345	312	590
346	312	588
347	313	586
348	313	585
349	314	583
350	314	582
351	315	580
352	315	579
353	316	577
354	317	576
355	317	574
356	318	572
357	318	571
358	319	569
359	319	568
360	320	566
361	320	565
362	321	563
363	321	562
364	322	560
365	322	559
366	323	557
367	323	555
368	324	554
369	324	552
370	325	551
371	325	549
372	326	548
373	326	546
374	327	545
375	327	543
376	328	542
377	328	540
378	329	539
379	329	537
380	330	536
381	330	534
382	331	533
383	331	531
384	332	530
385	332	528
386	333	527
387	333	526
388	334	524
389	334	523
390	334	521
391	335	520
392	335	518
393	336	517
394	336	516
395	337	514
396	337	513
397	338	511
398	338	510
399	339	508
400	339	507
401	340	506
402	340	504
403	341	503
404	341	502
405	342	500
406	342	499
407	343	498
408	343	496
409	344	495
410	344	494
411	345	492
412	345	491
413	346	490
414	346	488
415	347	487
416	347	486
417	348	484
418	348	483
419	349	482
420	349	480
421	350	479
422	350	478
423	351	476
424	351	475
425	352	474
426	352	473
427	352	471
428	353	470
429	353	469
430	354	467
431	354	466
432	355	465
433	355	464
434	356	462
435	356	461
436	357	460
437	357	459
438	358	458
439	358	456
440	359	455
441	359	454
442	360	453
443	360	451
444	361	450
445	361	449
446	362	448
447	362	447
448	363	445
449	363	444
450	364	443
451	364	442
452	365	441
453	365	439
454	366	438
455	366	437
456	367	436
457	367	435
458	368	433
459	368	432
460	369	431
461	369	430
462	370	429
463	370	428
464	371	427
465	371	425
466	372	424
467	372	423
468	373	422
469	373	421
470	374	420
471	374	419
472	375	417
473	375	416
474	376	415
475	376	414
476	377	413
477	377	412
478	378	411
479	378	410
480	379	408
481	379	407
482	380	406
483	380	405
484	380	404
485	381	403
486	381	402
487	382	401
488	382	400
489	383	399
490	383	398
491	384	396
492	384	395
493	385	394
494	385	393
495	386	392
496	386	391
497	387	390
498	387	389
499	388	388
500	388	387
501	389	386
502	389	385
503	390	384
504	390	383
505	391	381
506	391	380
507	392	379
508	392	378
509	393	377
510	393	376
511	394	375
512	394	374
513	395	373
514	395	372
515	396	371
516	396	370
517	397	369
518	397	368
519	398	367
520	398	366
521	399	365
522	399	364
523	400	363
524	400	362
525	401	361
526	401	360
527	402	359
528	402	358
529	403	357
530	403	356
531	404	355
532	404	354
533	405	353
534	405	352
535	406	351
536	406	350
537	407	349
538	407	348
539	408	347
540	408	346
541	409	345
542	409	344
543	410	343
544	410	342
545	411	341
546	411	340
547	411	339
548	412	338
549	412	337
550	413	336
551	413	335
552	414	334
553	414	333
554	415	333
555	415	332
556	416	331
557	416	330
558	417	329
559	417	328
560	418	327
561	418	326
562	419	325
563	419	324
564	420	323
565	420	322
566	421	321
567	421	320
568	422	319
569	422	318
570	423	317
571	423	317
572	424	316
573	424	315
574	425	314
575	425	313
576	426	312
577	426	311
578	427	310
579	427	309
580	428	308
581	428	307
582	429	306
583	429	306
584	430	305
585	430	304
586	431	303
587	431	302
588	432	301
589	432	300
590	433	299
591	433	298
592	433	297
593	434	296
594	434	296
595	435	295
596	436	294
597	436	293
598	437	292
599	437	291
600	438	290
601	438	289
602	439	289
603	439	288
604	440	287
605	440	286
606	441	285
607	441	284
608	442	283
609	442	282
610	442	282
611	443	281
612	443	280
613	444	279
614	444	278
615	445	277
616	445	276
617	446	275
618	446	275
619	447	274
620	447	273
621	448	272
622	448	271
623	449	270
624	449	269
625	450	269
626	450	268
627	451	267
628	451	266
629	452	265
630	452	264
631	453	263
632	453	263
633	454	262
634	454	261
635	455	260
636	455	259
637	456	258
638	456	258
639	457	257
640	457	256
641	458	255
642	458	254
643	459	253
