iter	Passed	Remaining
0	68	68317
1	68	34395
2	69	23092
3	70	17436
4	70	14042
5	71	11775
6	71	10172
7	72	8988
8	73	8048
9	73	7292
10	74	6670
11	74	6153
12	75	5713
13	75	5337
14	76	5011
15	76	4726
16	77	4476
17	78	4258
18	78	4059
19	79	3879
20	79	3716
21	80	3567
22	80	3431
23	81	3306
24	81	3192
25	82	3085
26	82	2987
27	83	2898
28	84	2816
29	84	2737
30	85	2662
31	85	2592
32	86	2526
33	86	2465
34	87	2407
35	87	2351
36	88	2299
37	88	2249
38	89	2203
39	90	2160
40	90	2118
41	91	2077
42	91	2038
43	92	2001
44	92	1966
45	93	1932
46	93	1899
47	94	1868
48	94	1839
49	95	1812
50	96	1786
51	96	1761
52	97	1737
53	98	1717
54	98	1694
55	99	1671
56	99	1649
57	100	1627
58	100	1606
59	101	1587
60	101	1568
61	102	1550
62	103	1532
63	103	1514
64	104	1498
65	104	1483
66	105	1467
67	105	1451
68	106	1436
69	106	1421
70	107	1407
71	108	1394
72	108	1380
73	109	1366
74	109	1353
75	110	1340
76	110	1327
77	111	1315
78	111	1303
79	112	1291
80	112	1280
81	113	1269
82	113	1257
83	114	1247
84	114	1237
85	115	1227
86	116	1217
87	116	1208
88	117	1198
89	117	1189
90	118	1179
91	118	1170
92	119	1161
93	119	1153
94	120	1146
95	120	1138
96	121	1131
97	122	1123
98	122	1115
99	123	1107
100	123	1100
101	124	1092
102	124	1085
103	125	1078
104	125	1071
105	126	1064
106	126	1058
107	127	1051
108	127	1045
109	128	1039
110	129	1033
111	129	1027
112	130	1022
113	130	1016
114	131	1010
115	131	1004
116	132	998
117	132	993
118	133	988
119	133	982
120	134	977
121	134	970
122	135	965
123	135	960
124	136	955
125	136	950
126	137	944
127	137	939
128	138	935
129	139	931
130	139	926
131	140	922
132	140	917
133	141	912
134	141	908
135	142	903
136	142	899
137	143	895
138	143	890
139	144	886
140	144	883
141	145	878
142	145	874
143	146	870
144	146	866
145	147	862
146	147	858
147	148	854
148	148	850
149	149	847
150	149	843
151	150	839
152	151	837
153	151	834
154	152	830
155	152	827
156	153	823
157	153	820
158	154	817
159	154	813
160	155	809
161	155	806
162	156	802
163	156	800
164	157	797
165	158	794
166	158	791
167	159	788
168	159	785
169	160	782
